1690,430,3380,256,512
1840,400,3680,128,1024
510,155,1020,1024,512
1860,220,3720,64,1024
1380,250,2760,256,1024
460,120,920,256,1024
770,335,1540,128,1024
1230,470,2460,32,512
1930,360,3860,32,1024
1940,470,3880,128,2048
560,200,1120,64,512
1950,470,3900,512,4096
1930,400,3860,128,512
1120,520,2240,1024,1024
1660,390,3320,512,512
540,175,1080,256,512
1020,190,2040,64,512
1860,110,3720,1024,512
1650,120,3300,64,512
1940,90,3880,1024,1024
1420,310,2840,64,512
360,170,720,128,512
1750,290,3500,32,2048
1890,550,3780,256,4096
1460,460,2920,64,4096
1590,550,3180,32,512
1570,660,3140,512,1024
970,345,1940,128,1024
1420,170,2840,256,2048
590,140,1180,128,1024
1500,500,3000,256,512
350,110,700,32,1024
770,195,1540,1024,512
370,100,740,512,512
460,152,920,512,4096
1700,370,3400,512,1024
1480,300,2960,128,4096
840,245,1680,256,4096
1920,530,3840,256,512
350,97,700,256,2048
1050,270,2100,64,2048
950,140,1900,64,2048
1600,430,3200,128,2048
1650,220,3300,64,512
610,70,1220,512,4096
1130,540,2260,1024,512
1060,210,2120,32,1024
1400,340,2800,256,4096
1510,500,3020,32,4096
1590,280,3180,512,1024
770,265,1540,1024,1024
1460,310,2920,32,2048
1420,500,2840,1024,4096
570,255,1140,32,4096
500,170,1000,512,2048
1150,60,2300,512,1024
1940,260,3880,256,4096
880,330,1760,1024,1024
1300,220,2600,1024,4096
680,180,1360,256,512
1580,590,3160,32,2048
730,330,1460,64,2048
1160,315,2320,64,512
1490,300,2980,32,1024
1820,550,3640,32,512
1940,310,3880,256,1024
1230,580,2460,1024,1024
530,135,1060,128,2048
550,145,1100,128,512
740,190,1480,1024,2048
1730,570,3460,1024,1024
730,335,1460,512,512
1690,260,3380,1024,512
710,245,1420,512,512
1880,330,3760,128,4096
890,300,1780,256,4096
630,275,1260,64,4096
720,160,1440,64,2048
1350,610,2700,512,512
1100,350,2200,256,1024
900,380,1800,128,512
1720,630,3440,256,512
1300,430,2600,512,1024
1240,150,2480,256,2048
1860,180,3720,256,2048
780,310,1560,256,2048
1590,540,3180,256,1024
1580,590,3160,32,1024
950,285,1900,512,2048
1270,260,2540,1024,4096
420,200,840,128,4096
390,100,780,1024,2048
1200,120,2400,128,2048
1630,130,3260,1024,2048
1890,490,3780,128,512
520,185,1040,128,2048
1270,170,2540,64,1024
1100,370,2200,32,512
320,140,640,64,512
870,80,1740,512,512
570,152,1140,512,2048
1650,410,3300,512,1024
830,330,1660,32,2048
1200,500,2400,1024,1024
580,215,1160,1024,512
1320,580,2640,512,2048
740,315,1480,32,1024
1410,700,2820,128,4096
1470,50,2940,512,4096
1570,620,3140,512,1024
1070,450,2140,64,512
440,175,880,64,2048
690,195,1380,512,4096
1860,360,3720,128,4096
560,142,1120,256,512
1710,200,3420,64,1024
1220,370,2440,64,2048
2000,640,4000,512,2048
430,210,860,512,2048
1050,300,2100,1024,2048
480,132,960,32,2048
1940,430,3880,64,1024
300,105,600,32,2048
1620,480,3240,128,512
1690,100,3380,64,512
1780,460,3560,1024,4096
440,120,880,32,1024
980,265,1960,32,2048
740,315,1480,256,4096
1660,690,3320,512,512
1030,275,2060,64,512
1850,430,3700,64,1024
610,165,1220,128,4096
750,215,1500,64,1024
540,60,1080,256,1024
530,120,1060,1024,512
1780,610,3560,256,1024
1290,360,2580,32,1024
1240,600,2480,128,512
540,180,1080,32,1024
1750,410,3500,256,512
1360,460,2720,128,2048
900,70,1800,1024,512
1170,450,2340,512,2048
980,280,1960,128,4096
420,80,840,1024,512
710,185,1420,32,1024
510,170,1020,128,2048
610,130,1220,1024,512
710,180,1420,1024,1024
1010,140,2020,512,2048
380,170,760,256,512
1840,70,3680,128,4096
1910,460,3820,1024,4096
1130,230,2260,32,4096
1130,400,2260,512,2048
870,250,1740,256,1024
1830,370,3660,512,2048
930,400,1860,128,512
490,170,980,512,4096
1630,130,3260,1024,2048
960,370,1920,64,2048
710,305,1420,256,512
990,310,1980,1024,512
460,220,920,256,1024
520,180,1040,64,4096
1910,420,3820,256,4096
1930,470,3860,128,2048
1280,320,2560,512,2048
400,180,800,128,512
700,335,1400,128,2048
900,100,1800,512,4096
1700,110,3400,1024,1024
320,140,640,64,4096
370,150,740,1024,512
580,225,1160,512,1024
1400,420,2800,1024,2048
1550,80,3100,32,512
1400,660,2800,128,2048
1070,530,2140,256,2048
1230,530,2460,64,2048
800,90,1600,64,4096
1570,610,3140,512,4096
620,165,1240,256,4096
1470,690,2940,256,1024
610,152,1220,256,1024
930,280,1860,32,4096
1360,380,2720,128,512
1630,160,3260,128,512
430,155,860,64,1024
1880,130,3760,512,2048
1620,70,3240,1024,4096
1130,330,2260,64,2048
1040,240,2080,512,1024
1060,240,2120,32,1024
820,260,1640,1024,4096
1160,350,2320,32,4096
1170,470,2340,256,2048
1690,60,3380,128,1024
1650,600,3300,512,512
1400,410,2800,256,4096
940,305,1880,128,2048
