# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total
1 4 2 8 15 1400 0.000256 4096 1 510 466848 85.1151 868.881 2526.96 3481.05 3481.15
2 4 2 8 15 1400 0.000256 4096 2 510 464992 85.3694 1679.71 2536.84 4302.01 4302.11
1 4 2 10 15 1400 0.000256 4096 0.1 510 468520 84.897 876.202 2518.04 3479.24 3479.34
1 4 2 10 15 1400 0.000256 4096 0.2 510 468320 84.9092 877.313 2518.62 3480.93 3481.04
1 4 2 10 15 1400 0.000256 4096 0.5 510 467760 85.0052 878.129 2521.85 3485.08 3485.18
1 4 2 10 15 1400 0.000256 4096 1 510 466840 85.1265 876.637 2528.43 3490.29 3490.39
1 4 2 10 15 1400 0.000256 4096 2 510 465000 85.3862 873.8 2545.66 3504.94 3505.03
1 4 2 12 15 1400 0.000256 4096 0.1 510 468480 84.8932 874.175 2517.36 3476.53 3476.63
1 4 2 12 15 1400 0.000256 4096 0.2 510 468288 84.8929 874.322 2518.48 3477.78 3477.89
1 4 2 12 15 1400 0.000256 4096 0.5 510 467760 85.0017 874.889 2525.01 3484.99 3485.09
1 4 2 12 15 1400 0.000256 4096 1 510 466848 85.1096 874.477 2529.47 3489.16 3489.26
1 4 2 12 15 1400 0.000256 4096 2 510 464976 85.3897 870.111 2538.59 3494.18 3494.28
1 4 2 14 15 1400 0.000256 4096 0.1 510 468496 84.9365 889.706 2517.16 3491.9 3492
1 4 2 14 15 1400 0.000256 4096 0.2 510 468272 84.9117 891.421 2517.9 3494.32 3494.43
1 4 2 14 15 1400 0.000256 4096 0.5 510 467768 85.0201 892.049 2521.17 3498.32 3498.42
1 4 2 14 15 1400 0.000256 4096 1 510 466816 85.123 889.765 2526.18 3501.16 3501.26
1 4 2 14 15 1400 0.000256 4096 2 510 464968 85.3775 891.087 2535.92 3512.47 3512.57
1 4 2 16 15 1400 0.000256 4096 0.1 510 468480 84.907 863.02 2524.05 3472.08 3472.19
1 4 2 16 15 1400 0.000256 4096 0.2 510 468288 84.9142 864.195 2524.96 3474.16 3474.27
1 4 2 16 15 1400 0.000256 4096 0.5 510 467712 85.0079 880.739 2527.84 3493.68 3493.79
1 4 2 16 15 1400 0.000256 4096 1 510 466816 85.1321 901.413 2532.99 3519.63 3519.73
1 4 2 16 15 1400 0.000256 4096 2 510 464960 85.3885 910.986 2542.9 3539.36 3539.46
1 4 2 18 15 1400 0.000256 4096 0.1 510 468432 84.9168 1035.94 2523.08 3644.04 3644.14
1 4 2 18 15 1400 0.000256 4096 0.2 510 468288 84.8845 1035.04 2524.63 3644.64 3644.75
1 4 2 18 15 1400 0.000256 4096 0.5 510 467712 84.9976 1032.35 2531.18 3648.61 3648.71
1 4 2 18 15 1400 0.000256 4096 1 510 466776 85.1114 1030.07 2533.66 3648.94 3649.04
1 4 2 18 15 1400 0.000256 4096 2 510 464976 85.3629 1025.66 2544.56 3655.68 3655.77
1 4 2 20 15 1400 0.000256 4096 0.1 510 468480 84.8996 1015.32 2525.95 3626.26 3626.36
1 4 2 20 15 1400 0.000256 4096 0.2 510 468240 84.8845 1012.04 2526.6 3623.61 3623.72
1 4 2 20 15 1400 0.000256 4096 0.5 510 467680 85.0151 1005.94 2529.73 3620.78 3620.88
1 4 2 20 15 1400 0.000256 4096 1 510 466800 85.1216 1005.02 2534.79 3625.03 3625.13
1 4 2 20 15 1400 0.000256 4096 2 510 464960 85.3914 1000.63 2544.79 3630.9 3631
1 4 2 24 15 1400 0.000256 4096 0.1 510 468384 84.8992 1085.07 2518.03 3688.1 3688.2
1 4 2 24 15 1400 0.000256 4096 0.2 510 468192 84.8918 1078.56 2519.69 3683.22 3683.33
1 4 2 24 15 1400 0.000256 4096 0.5 510 467712 84.9818 1069.82 2526 3680.89 3680.99
1 4 2 24 15 1400 0.000256 4096 1 510 466752 85.1341 1067.79 2531.26 3684.28 3684.38
1 4 2 24 15 1400 0.000256 4096 2 510 464928 85.3781 1064.68 2544.29 3694.44 3694.54
1 4 2 25 15 1400 0.000256 4096 0.1 510 468400 84.8969 1063.96 2518.12 3667.07 3667.17
1 4 2 25 15 1400 0.000256 4096 0.2 510 468200 84.9268 1063.42 2519 3667.44 3667.55
1 4 2 25 15 1400 0.000256 4096 0.5 510 467700 84.993 1063.35 2522.29 3670.73 3670.83
1 4 2 25 15 1400 0.000256 4096 1 510 466800 85.1253 1062.01 2527.38 3674.61 3674.7
1 4 2 25 15 1400 0.000256 4096 2 510 464900 85.4077 1057.98 2537.03 3680.52 3680.62
1 4 2 28 15 1400 0.000256 4096 0.1 510 468384 84.8958 1077.97 2516.02 3678.98 3679.08
1 4 2 28 15 1400 0.000256 4096 0.2 510 468160 84.9047 1076.25 2516.86 3678.1 3678.2
1 4 2 28 15 1400 0.000256 4096 0.5 510 467712 85.0298 1072.33 2520.1 3677.55 3677.65
1 4 2 28 15 1400 0.000256 4096 1 510 466704 85.1345 1070.75 2524.63 3680.61 3680.71
1 4 2 28 15 1400 0.000256 4096 2 510 464912 85.4334 1066.42 2544.22 3696.16 3696.27
1 4 2 30 15 1400 0.000256 4096 0.1 510 468360 84.918 1063.72 2524.41 3673.15 3673.25
1 4 2 30 15 1400 0.000256 4096 0.2 510 468240 84.9073 1061.24 2525.72 3671.95 3672.07
1 4 2 30 15 1400 0.000256 4096 0.5 510 467640 85.0375 1060.13 2533.37 3678.63 3678.73
