1130,110,2260,64,4096
1110,160,2220,64,2048
1790,80,3580,64,4096
870,240,1740,1024,2048
1040,160,2080,128,1024
1940,180,3880,128,2048
320,120,640,64,4096
1960,100,3920,1024,512
580,135,1160,128,1024
1420,370,2840,1024,4096
1280,160,2560,256,1024
1430,410,2860,128,2048
880,80,1760,1024,4096
1340,230,2680,512,4096
1670,50,3340,128,2048
280,75,560,512,512
390,50,780,1024,512
1960,130,3920,128,2048
1390,110,2780,128,2048
650,170,1300,256,4096
960,130,1920,1024,2048
460,110,920,512,2048
720,160,1440,128,2048
700,230,1400,512,1024
830,240,1660,1024,4096
510,150,1020,256,2048
860,270,1720,256,512
460,110,920,64,2048
1800,290,3600,32,2048
410,85,820,64,512
1880,80,3760,32,4096
950,250,1900,128,1024
330,120,660,32,512
850,60,1700,1024,512
1540,480,3080,256,1024
1640,240,3280,32,512
1200,245,2400,32,2048
1450,400,2900,64,512
1820,50,3640,128,1024
340,90,680,32,1024
780,185,1560,32,4096
330,85,660,512,1024
590,150,1180,128,4096
1510,150,3020,512,2048
1520,400,3040,128,4096
1790,150,3580,128,512
1270,220,2540,32,4096
370,112,740,32,4096
1870,440,3740,32,512
1650,230,3300,256,1024
750,190,1500,64,1024
1200,320,2400,1024,2048
1980,460,3960,1024,512
1500,460,3000,1024,2048
1720,320,3440,128,2048
1010,200,2020,64,2048
1070,220,2140,64,1024
1230,250,2460,256,512
720,230,1440,512,2048
1560,60,3120,128,1024
1130,290,2260,128,512
1380,370,2760,256,1024
790,130,1580,1024,1024
490,100,980,32,2048
1080,130,2160,512,4096
880,190,1760,256,2048
1630,230,3260,128,4096
1620,300,3240,1024,512
1420,70,2840,128,512
480,150,960,64,1024
280,85,560,256,4096
1230,160,2460,256,4096
770,160,1540,64,1024
1900,120,3800,512,1024
1970,480,3940,1024,512
750,240,1500,1024,2048
1650,420,3300,32,2048
1820,380,3640,64,512
1300,130,2600,32,1024
1800,210,3600,256,512
1910,130,3820,32,4096
1210,50,2420,128,1024
1530,190,3060,1024,4096
1260,370,2520,256,512
290,82,580,128,4096
1030,290,2060,64,2048
1380,250,2760,128,2048
1160,180,2320,1024,2048
900,280,1800,32,2048
1890,400,3780,128,512
1700,400,3400,1024,4096
1740,310,3480,32,512
900,195,1800,512,1024
1290,340,2580,1024,512
1780,100,3560,64,4096
1890,280,3780,32,512
1420,200,2840,512,2048
610,90,1220,1024,2048
1400,110,2800,256,2048
370,140,740,1024,4096
960,350,1920,64,512
1420,240,2840,512,4096
1890,360,3780,128,2048
