630,130,1260,512,4096
630,195,1260,1024,2048
850,200,1700,64,4096
1800,240,3600,32,2048
1100,120,2200,64,1024
990,210,1980,128,2048
600,165,1200,64,4096
1950,380,3900,1024,512
990,210,1980,32,1024
1740,80,3480,256,4096
1350,480,2700,32,1024
940,270,1880,1024,2048
1790,390,3580,64,4096
1640,390,3280,256,4096
1090,430,2180,1024,2048
1690,120,3380,128,512
1830,260,3660,32,512
1030,330,2060,64,2048
870,235,1740,128,2048
1320,430,2640,128,4096
1840,460,3680,64,2048
1500,310,3000,1024,2048
940,310,1880,512,2048
1550,440,3100,1024,1024
1930,60,3860,128,4096
1220,450,2440,1024,2048
1220,230,2440,32,512
830,60,1660,256,2048
420,97,840,512,2048
610,120,1220,64,512
450,110,900,1024,4096
1090,320,2180,512,1024
310,80,620,512,512
1860,190,3720,256,512
1390,230,2780,512,1024
300,115,600,64,512
350,110,700,64,2048
650,165,1300,64,512
1070,120,2140,256,1024
510,130,1020,512,1024
310,90,620,64,4096
1540,190,3080,128,1024
900,200,1800,1024,4096
1630,150,3260,256,2048
1040,390,2080,1024,4096
1040,360,2080,64,512
380,105,760,512,4096
380,107,760,512,4096
450,90,900,64,512
1310,190,2620,128,1024
710,145,1420,128,1024
1730,190,3460,256,2048
1760,430,3520,512,512
1940,420,3880,32,2048
1130,300,2260,512,2048
670,170,1340,1024,2048
680,180,1360,128,1024
1210,150,2420,128,512
1600,250,3200,256,2048
890,220,1780,512,1024
1080,290,2160,512,512
1390,500,2780,512,1024
1860,390,3720,128,1024
570,125,1140,128,2048
1520,150,3040,1024,4096
1280,290,2560,256,2048
1040,70,2080,1024,4096
1810,390,3620,64,512
970,320,1940,256,512
600,220,1200,256,1024
1380,500,2760,1024,4096
1360,470,2720,32,4096
860,230,1720,256,1024
1670,50,3340,256,1024
2000,290,4000,32,512
1970,140,3940,1024,2048
510,150,1020,1024,2048
690,190,1380,128,512
340,90,680,512,1024
1330,390,2660,32,512
480,97,960,256,4096
990,290,1980,64,1024
1810,200,3620,128,4096
1230,430,2460,1024,512
930,300,1860,64,4096
650,245,1300,64,2048
1050,230,2100,128,2048
1930,210,3860,128,2048
510,150,1020,512,2048
1100,200,2200,1024,512
1760,330,3520,32,4096
370,102,740,64,512
1480,390,2960,512,1024
1970,100,3940,128,512
780,210,1560,1024,4096
520,60,1040,1024,512
1470,240,2940,256,2048
1850,380,3700,1024,2048
1340,400,2680,128,2048
1830,210,3660,256,4096
